IDENTIFIER.OTHER,DC.TITLE,DC.DESCRIPTION.ABSTRACT,DC.CONTRIBUTOR.AUTHOR,DC.CONTRIBUTOR.OTHER,DC.DATE.ISSUED,DC.DATE.CREATED,DC.COVERAGE.TEMPORAL,DC.TITLE.FILENAME ,DC.DESCRIPTION.FILENAME,DC.TYPE,DC.RIGHTS.ACCESS,DC.DATE.OPEN,DC.RIGHTS.COPYRIGHT,DC.LANGUAGE.ISO
9811_0003_0001,Media U Intro,,"Duderstadt, James J.",,2015,1996-08-01,,jjd10.txt,,Office Documents,Collection is open for research.,2015-12-04,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_0002,State of the U,,"Duderstadt, James J.",,2015,1996-08-01,,jjd11.txt,,Office Documents,Collection is open for research.,2015-12-04,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_0003,State of the U,,"Duderstadt, James J.",,2015,1996-08-01,,jjd12.doc,,Office Documents,Collection is open for research.,2015-12-04,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_0004,Strategic Plan text,,"Duderstadt, James J.",,2015,1996-08-01,,jjd12.pdf,,Office Documents,Collection is open for research.,2015-12-04,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_0005,Strategy appendx 1,,"Duderstadt, James J.",,2015,1996-08-01,,jjd13.txt,,Office Documents,Collection is open for research.,2015-12-04,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_0006,Strategy appndx 2,,"Duderstadt, James J.",,2015,1996-08-01,,jjd14.txt,,Office Documents,Collection is open for research.,2015-12-04,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_0007,Strategy appndx 3,,"Duderstadt, James J.",,2015,1996-08-01,,jjd15.txt,,Office Documents,Collection is open for research.,2015-12-04,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_0008,Strategy appndx 4,,"Duderstadt, James J.",,2015,1996-08-01,,jjd16.txt,,Office Documents,Collection is open for research.,2015-12-04,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_0009,sun/agenda list 1,,"Duderstadt, James J.",,2015,1996-08-01,,jjd18.txt,,Office Documents,Collection is open for research.,2015-12-04,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_00010,sun/agenda list 2,,"Duderstadt, James J.",,2015,1996-08-01,,jjd19.txt,,Office Documents,Collection is open for research.,2015-12-04,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_00011,sun/agenda list 2,,"Duderstadt, James J.",,2015,1996-08-01,,jjd2.doc,,Office Documents,Collection is open for research.,2015-12-04,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_00012,Athletics Monograph,,"Duderstadt, James J.",,2015,1996-07-30,,jjd2.pdf,,Office Documents,Collection is open for research.,2015-12-04,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_00013,"sun/agenda,mandate,access",,"Duderstadt, James J.",,2015,1996-08-01,,jjd20.txt,,Office Documents,Collection is open for research.,2015-12-04,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_00014,sun/bedrock,,"Duderstadt, James J.",,2015,1996-08-01,,jjd21.txt,,Office Documents,Collection is open for research.,2015-12-04,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_00015,sun/buildings list,,"Duderstadt, James J.",,2015,1996-08-01,,jjd22.txt,,Office Documents,Collection is open for research.,2015-12-04,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_00016,sun/change,,"Duderstadt, James J.",,2015,1996-08-01,,jjd23.txt,,Office Documents,Collection is open for research.,2015-12-04,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_00017,sun/constant change,,"Duderstadt, James J.",,2015,1996-08-01,,jjd24.txt,,Office Documents,Collection is open for research.,2015-12-04,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_00018,sun/diversity,,"Duderstadt, James J.",,2015,1996-08-01,,jjd25.txt,,Office Documents,Collection is open for research.,2015-12-04,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_00019,sun/educ list,,"Duderstadt, James J.",,2015,1996-08-01,,jjd26.txt,,Office Documents,Collection is open for research.,2015-12-04,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_00020,sun/education,,"Duderstadt, James J.",,2015,1996-08-01,,jjd27.txt,,Office Documents,Collection is open for research.,2015-12-04,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_00021,sun/leaders firsts list,,"Duderstadt, James J.",,2015,1996-08-01,,jjd28.txt,,Office Documents,Collection is open for research.,2015-12-04,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_00022,sun/leaders list,,"Duderstadt, James J.",,2015,1996-08-01,,jjd29.txt,,Office Documents,Collection is open for research.,2015-12-04,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_00023,"Cost, price, and value",,"Duderstadt, James J.",,2015,1996-08-01,,jjd3.txt,,Office Documents,Collection is open for research.,2015-12-04,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_00024,sun/leaders text,,"Duderstadt, James J.",,2015,1996-08-01,,jjd30.txt,,Office Documents,Collection is open for research.,2015-12-04,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_00025,sun/leaders top 10 list,,"Duderstadt, James J.",,2015,1996-08-01,,jjd31.txt,,Office Documents,Collection is open for research.,2015-12-04,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_00026,sun/nurture growth,,"Duderstadt, James J.",,2015,1996-08-01,,jjd32.txt,,Office Documents,Collection is open for research.,2015-12-04,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_00027,sun/outreach list,,"Duderstadt, James J.",,2015,1996-08-01,,jjd33.txt,,Office Documents,Collection is open for research.,2015-12-04,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_00028,sun/rankings list,,"Duderstadt, James J.",,2015,1996-08-01,,jjd34.txt,,Office Documents,Collection is open for research.,2015-12-04,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_00029,sun/service,,"Duderstadt, James J.",,2015,1996-08-01,,jjd35.txt,,Office Documents,Collection is open for research.,2015-12-04,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_00030,sun/structure,,"Duderstadt, James J.",,2015,1996-08-01,,jjd36.txt,,Office Documents,Collection is open for research.,2015-12-04,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_00031,Diversity Intro,,"Duderstadt, James J.",,2015,1996-08-01,,jjd4.txt,,Office Documents,Collection is open for research.,2015-12-04,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_00032,Diversity&Exc 7.2+hist,,"Duderstadt, James J.",,2015,1996-08-01,,jjd5.txt,,Office Documents,Collection is open for research.,2015-12-04,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_00033,Education intro,,"Duderstadt, James J.",,2015,1996-08-01,,jjd6.txt,,Office Documents,Collection is open for research.,2015-12-04,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_00034,Education intro,,"Duderstadt, James J.",,2015,1996-08-01,,jjd7.doc,,Office Documents,Collection is open for research.,2015-12-04,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_00035,Education mono,,"Duderstadt, James J.",,2015,1996-08-01,,jjd7.pdf,,Office Documents,Collection is open for research.,2015-12-04,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_00036,Intellect Trans Mono,,"Duderstadt, James J.",,2015,1996-08-01,,jjd8.txt,,Office Documents,Collection is open for research.,2015-12-04,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_00037,M-Union Mono,,"Duderstadt, James J.",,2015,1996-08-01,,jjd9.txt,,Office Documents,Collection is open for research.,2015-12-04,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_00038,Strategic Marketing,,"Duderstadt, James J.",,2015,1991-05-29,,jjd2280.pdf,,Office Documents,Collection is open for research.,2015-12-04,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_00039,YNH Projects,,"Duderstadt, James J.",,2015,1991-04-03,,jjd2281.pdf,,Office Documents,Collection is open for research.,2015-12-04,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_00040,"EVPHA Presentation, 1",,"Duderstadt, James J.",,2015,1994-11-20,,jjd535.pdf,,Office Documents,Collection is open for research.,2015-12-04,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_00041,Transformation Course,,"Duderstadt, James J.",,2015,1994-01-07,,jjd536.pdf,,Office Documents,Collection is open for research.,2015-12-04,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_00042,"Academic Affairs-1/88, 1",,"Duderstadt, James J.",,2015,1987-12-27,,jjd537.pdf,,Office Documents,Collection is open for research.,2015-12-04,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_00043,FY88-89 Budget-(5/88),,"Duderstadt, James J.",,2015,1988-05-16,,jjd538.pdf,,Office Documents,Collection is open for research.,2015-12-04,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_00044,"Michigan Mandate 2.2, 1",,"Duderstadt, James J.",,2015,1988-11-20,,jjd539.pdf,,Office Documents,Collection is open for research.,2015-12-04,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_00045,"Michigan Mandate 2.2C, 1",,"Duderstadt, James J.",,2015,1988-11-21,,jjd540.pdf,,Office Documents,Collection is open for research.,2015-12-04,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_00046,Mission Statement,,"Duderstadt, James J.",,2015,1988-03-11,,jjd541.pdf,,Office Documents,Collection is open for research.,2015-12-04,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_00047,Mission-35mm,,"Duderstadt, James J.",,2015,1988-04-18,,jjd542.pdf,,Office Documents,Collection is open for research.,2015-12-04,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_00048,Campaign Ideas 1.0,,"Duderstadt, James J.",,2015,1989-02-04,,jjd543.pdf,,Office Documents,Collection is open for research.,2015-12-04,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_00049,"Campaign--11/89, 1",,"Duderstadt, James J.",,2015,1989-10-17,,jjd544.pdf,,Office Documents,Collection is open for research.,2015-12-04,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_00050,Community Outreach,,"Duderstadt, James J.",,2015,1989-04-26,,jjd545.pdf,,Office Documents,Collection is open for research.,2015-12-04,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_00051,Leadership Retreat,,"Duderstadt, James J.",,2015,1989-09-01,,jjd546.pdf,,Office Documents,Collection is open for research.,2015-12-04,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_00052,Regents Retreat,,"Duderstadt, James J.",,2015,1989-07-08,,jjd547.pdf,,Office Documents,Collection is open for research.,2015-12-04,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_00053,State Strategy-89,,"Duderstadt, James J.",,2015,1989-09-11,,jjd548.pdf,,Office Documents,Collection is open for research.,2015-12-04,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_00054,State Support,,"Duderstadt, James J.",,2015,1989-05-24,,jjd549.pdf,,Office Documents,Collection is open for research.,2015-12-04,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_00055,"Tuition Retreat, 1",,"Duderstadt, James J.",,2015,1989-12-06,,jjd550.pdf,,Office Documents,Collection is open for research.,2015-12-04,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_00056,Business Plan-1990s,,"Duderstadt, James J.",,2015,1990-02-17,,jjd551.pdf,,Office Documents,Collection is open for research.,2015-12-04,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_00057,Campaign Briefing-1990,,"Duderstadt, James J.",,2015,1990-04-06,,jjd552.pdf,,Office Documents,Collection is open for research.,2015-12-04,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_00058,Campaign-Color,,"Duderstadt, James J.",,2015,1990-04-11,,jjd553.pdf,,Office Documents,Collection is open for research.,2015-12-04,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_00059,Campaign-Color-update,,"Duderstadt, James J.",,2015,1990-04-18,,jjd554.pdf,,Office Documents,Collection is open for research.,2015-12-04,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_00060,Economics Dinner Group,,"Duderstadt, James J.",,2015,1990-04-06,,jjd555.pdf,,Office Documents,Collection is open for research.,2015-12-04,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_00061,Eye on the Ball,,"Duderstadt, James J.",,2015,1990-03-12,,jjd556.pdf,,Office Documents,Collection is open for research.,2015-12-04,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_00062,"Eye on the Ball-II, 1",,"Duderstadt, James J.",,2015,1990-11-05,,jjd557.pdf,,Office Documents,Collection is open for research.,2015-12-04,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_00063,Leadership Retreat-F90,,"Duderstadt, James J.",,2015,1990-09-03,,jjd558.pdf,,Office Documents,Collection is open for research.,2015-12-04,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_00064,NSB-6/90,,"Duderstadt, James J.",,2015,1990-06-11,,jjd560.pdf,,Office Documents,Collection is open for research.,2015-12-04,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_00065,Science Education,,"Duderstadt, James J.",,2015,1990-01-14,,jjd561.pdf,,Office Documents,Collection is open for research.,2015-12-04,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_00066,Title List,,"Duderstadt, James J.",,2015,1990-08-29,,jjd562.pdf,,Office Documents,Collection is open for research.,2015-12-04,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_00067,UM Organization,,"Duderstadt, James J.",,2015,1990-06-23,,jjd563.pdf,,Office Documents,Collection is open for research.,2015-12-04,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_00068,Athenaeum,,"Duderstadt, James J.",,2015,1991-03-05,,jjd564.pdf,,Office Documents,Collection is open for research.,2015-12-04,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_00069,Campaign GoNoGo,,"Duderstadt, James J.",,2015,1990-05-07,,jjd565.pdf,,Office Documents,Collection is open for research.,2015-12-04,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_00070,Communication,,"Duderstadt, James J.",,2015,1990-01-06,,jjd566.pdf,,Office Documents,Collection is open for research.,2015-12-04,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_00071,EO Retreat (Fall-91),,"Duderstadt, James J.",,2015,1991-08-30,,jjd567.pdf,,Office Documents,Collection is open for research.,2015-12-04,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_00072,EO Retreat-93,,"Duderstadt, James J.",,2015,1991-08-30,,jjd568.pdf,,Office Documents,Collection is open for research.,2015-12-04,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_00073,EO Strategic Update,,"Duderstadt, James J.",,2015,1991-08-30,,jjd569.pdf,,Office Documents,Collection is open for research.,2015-12-04,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_00074,Futures Group 1.0,,"Duderstadt, James J.",,2015,1991-09-01,,jjd570.pdf,,Office Documents,Collection is open for research.,2015-12-04,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_00075,Futures/Missions,,"Duderstadt, James J.",,2015,1991-07-20,,jjd571.pdf,,Office Documents,Collection is open for research.,2015-12-04,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_00076,Futuring,,"Duderstadt, James J.",,2015,1991-08-30,,jjd572.pdf,,Office Documents,Collection is open for research.,2015-12-04,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_00077,Regent Priorities,,"Duderstadt, James J.",,2015,1991-02-05,,jjd574.pdf,,Office Documents,Collection is open for research.,2015-12-04,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_00078,Resources for the 1990s,,"Duderstadt, James J.",,2015,1991-01-04,,jjd575.pdf,,Office Documents,Collection is open for research.,2015-12-04,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_00079,slides-Resources for the 1990's,,"Duderstadt, James J.",,2015,1991-02-25,,jjd576.pdf,,Office Documents,Collection is open for research.,2015-12-04,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_00080,The Plan Itself 1.1,,"Duderstadt, James J.",,2015,1991-08-30,,jjd577.pdf,,Office Documents,Collection is open for research.,2015-12-04,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_00081,white-Resources for the 1990's,,"Duderstadt, James J.",,2015,1991-02-28,,jjd578.pdf,,Office Documents,Collection is open for research.,2015-12-04,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_00082,Michigan Mandate-Color,,"Duderstadt, James J.",,2015,1992-06-06,,jjd579.pdf,,Office Documents,Collection is open for research.,2015-12-04,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_00083,Strategic Planning Update,,"Duderstadt, James J.",,2015,1992-02-03,,jjd580.pdf,,Office Documents,Collection is open for research.,2015-12-04,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_00084,The Top Ten,,"Duderstadt, James J.",,2015,1992-02-03,,jjd581.pdf,,Office Documents,Collection is open for research.,2015-12-04,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_00085,"Vision 2017 Pres 1.0, 1",,"Duderstadt, James J.",,2015,1993-11-10,,jjd582.pdf,,Office Documents,Collection is open for research.,2015-12-04,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_00086,Resources,,"Duderstadt, James J.",,2015,1995-06-09,,jjd583.pdf,,Office Documents,Collection is open for research.,2015-12-04,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_00087,Resources Update,,"Duderstadt, James J.",,2015,1995-06-08,,jjd584.pdf,,Office Documents,Collection is open for research.,2015-12-04,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_00088,Resources Update-11,,"Duderstadt, James J.",,2015,1995-06-08,,jjd585.pdf,,Office Documents,Collection is open for research.,2015-12-04,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_00089,Resources Update-11,,"Duderstadt, James J.",,2015,1995-06-08,,jjd588.pdf,,Office Documents,Collection is open for research.,2015-12-04,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_00090,Resources Update-11,,"Duderstadt, James J.",,2015,1995-06-08,,jjd589.xls,,Office Documents,Collection is open for research.,2015-12-04,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_00091,Resources Update-11,,"Duderstadt, James J.",,2015,1995-06-08,,jjd590.pdf,,Office Documents,Collection is open for research.,2015-12-04,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_00092,Resources Update-11,,"Duderstadt, James J.",,2015,1995-06-08,,JJD591.pdf,,Office Documents,Collection is open for research.,2015-12-04,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_00093,Resources Update-11,,"Duderstadt, James J.",,2015,1995-06-08,,jjd592.pdf,,Office Documents,Collection is open for research.,2015-12-04,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_00094,Millennium Seminar,,"Duderstadt, James J.",,2015,1996-08-31,,jjd593.pdf,,Office Documents,Collection is open for research.,2015-12-04,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_00095,Regents Resources,,"Duderstadt, James J.",,2015,1996-05-20,,jjd594.pdf,,Office Documents,Collection is open for research.,2015-12-04,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_00096,Transformation Course 1,,"Duderstadt, James J.",,2015,1996-08-30,,jjd595.pdf,,Office Documents,Collection is open for research.,2015-12-04,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_00097,Transformation Course 2,,"Duderstadt, James J.",,2015,1996-08-30,,jjd596.pdf,,Office Documents,Collection is open for research.,2015-12-04,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_00098,AAAC-Min-II,,"Duderstadt, James J.",,2015,1987-07-21,,jjd600.pdf,,Office Documents,Collection is open for research.,2015-12-04,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_00099,Academic Affairs Picnic,,"Duderstadt, James J.",,2015,1986-09-06,,jjd601.pdf,,Office Documents,Collection is open for research.,2015-12-04,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_00100,Alumni Talk,,"Duderstadt, James J.",,2015,1986-09-07,,jjd602.pdf,,Office Documents,Collection is open for research.,2015-12-04,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_00101,ASB-5/21,,"Duderstadt, James J.",,2015,1986-05-21,,jjd603.pdf,,Office Documents,Collection is open for research.,2015-12-04,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_00102,BPC Talk,,"Duderstadt, James J.",,2015,1986-06-26,,jjd604.pdf,,Office Documents,Collection is open for research.,2015-12-04,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_00103,Caltech,,"Duderstadt, James J.",,2015,1987-02-16,,jjd605.pdf,,Office Documents,Collection is open for research.,2015-12-04,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_00104,Challenge,,"Duderstadt, James J.",,2015,1986-05-31,,jjd606.pdf,,Office Documents,Collection is open for research.,2015-12-04,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_00105,Chinese,,"Duderstadt, James J.",,2015,1986-07-17,,jjd607.pdf,,Office Documents,Collection is open for research.,2015-12-04,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_00106,CRLT,,"Duderstadt, James J.",,2015,1986-09-06,,jjd608.pdf,,Office Documents,Collection is open for research.,2015-12-04,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_00107,Devel-6/30,,"Duderstadt, James J.",,2015,1987-06-30,,jjd609.pdf,,Office Documents,Collection is open for research.,2015-12-04,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_00108,E&V Conf,,"Duderstadt, James J.",,2015,1987-03-06,,jjd610.pdf,,Office Documents,Collection is open for research.,2015-12-04,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_00109,Ed for Change,,"Duderstadt, James J.",,2015,1987-03-22,,jjd611.pdf,,Office Documents,Collection is open for research.,2015-12-04,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_00110,"Educ-Change, 1",,"Duderstadt, James J.",,2015,1986-11-10,,jjd612.pdf,,Office Documents,Collection is open for research.,2015-12-04,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_00111,Engineering,,"Duderstadt, James J.",,2015,1986-09-18,,jjd613.pdf,,Office Documents,Collection is open for research.,2015-12-04,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_00112,EXPRES,,"Duderstadt, James J.",,2015,1986-09-10,,jjd614.pdf,,Office Documents,Collection is open for research.,2015-12-04,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_00113,Genetics,,"Duderstadt, James J.",,2015,1987-03-05,,jjd615.pdf,,Office Documents,Collection is open for research.,2015-12-04,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_00114,High Tech-3/87,,"Duderstadt, James J.",,2015,1987-03-01,,jjd616.pdf,,Office Documents,Collection is open for research.,2015-12-04,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_00115,"Honor Society, 1",,"Duderstadt, James J.",,2015,1986-11-10,,jjd617.pdf,,Office Documents,Collection is open for research.,2015-12-04,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_00116,"Leadership, 1",,"Duderstadt, James J.",,2015,1986-12-20,,jjd618.pdf,,Office Documents,Collection is open for research.,2015-12-04,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_00117,"Legislators-86, 1",,"Duderstadt, James J.",,2015,1986-12-10,,jjd619.pdf,,Office Documents,Collection is open for research.,2015-12-04,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_00118,LSA,,"Duderstadt, James J.",,2015,1986-09-07,,jjd620.pdf,,Office Documents,Collection is open for research.,2015-12-04,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_00119,MedSch-4/6,,"Duderstadt, James J.",,2015,1986-05-06,,jjd621.pdf,,Office Documents,Collection is open for research.,2015-12-04,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_00120,Minority Ed,,"Duderstadt, James J.",,2015,1987-06-03,,jjd769.pdf,,Office Documents,Collection is open for research.,2015-12-04,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_00121,MITN,,"Duderstadt, James J.",,2015,1987-01-08,,jjd770.pdf,,Office Documents,Collection is open for research.,2015-12-04,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_00122,Niara Party,,"Duderstadt, James J.",,2015,1987-01-11,,jjd771.pdf,,Office Documents,Collection is open for research.,2015-12-04,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_00123,Nursing,,"Duderstadt, James J.",,2015,1987-06-11,,jjd772.pdf,,Office Documents,Collection is open for research.,2015-12-04,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_00124,Physics-85,,"Duderstadt, James J.",,2015,1985-08-25,,jjd774.pdf,,Office Documents,Collection is open for research.,2015-12-04,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_00125,Physics-87,,"Duderstadt, James J.",,2015,1987-01-18,,jjd775.pdf,,Office Documents,Collection is open for research.,2015-12-04,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_00126,Pluralism,,"Duderstadt, James J.",,2015,1987-06-16,,jjd776.pdf,,Office Documents,Collection is open for research.,2015-12-04,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_00127,Reunion-6/87,,"Duderstadt, James J.",,2015,1987-06-06,,jjd777.pdf,,Office Documents,Collection is open for research.,2015-12-04,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_00128,"Rose Bowl, 1",,"Duderstadt, James J.",,2015,1986-12-26,,jjd778.pdf,,Office Documents,Collection is open for research.,2015-12-04,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_00129,Rotary,,"Duderstadt, James J.",,2015,1986-01-04,,jjd779.pdf,,Office Documents,Collection is open for research.,2015-12-04,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_00130,Sen Assem - 5/87,,"Duderstadt, James J.",,2015,1987-05-17,,jjd780.pdf,,Office Documents,Collection is open for research.,2015-12-04,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_00131,"Senate Assembly, 1",,"Duderstadt, James J.",,2015,1986-10-18,,jjd781.pdf,,Office Documents,Collection is open for research.,2015-12-04,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_00132,SPRL,,"Duderstadt, James J.",,2015,1987-02-13,,jjd782.pdf,,Office Documents,Collection is open for research.,2015-12-04,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_00133,StrFnd-5/19,,"Duderstadt, James J.",,2015,1986-05-18,,jjd783.pdf,,Office Documents,Collection is open for research.,2015-12-04,Copyright has been transferred to the Regents of the University of Michigan.,en_US
9811_0003_00134,"Alumni-Rose Bowl, 1",,"Duderstadt, James J.",,2015,1988-10-16,,jjd1565.pdf,,Office Documents,Collection is open for research.,2015-12-04,Copyright has been transferred to the Regents of the University of Michigan.,en_US
